station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
8A0,1/1/16 0:15,41.0,39.2,93.24,350,6,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,36.37,K8A0 010015Z AUTO 35006KT 10SM CLR 05/04 A3025 RMK AO2
8A0,1/1/16 0:35,39.2,37.4,93.19,360,6,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,34.2,K8A0 010035Z AUTO 36006KT 10SM CLR 04/03 A3025 RMK AO2
8A0,1/1/16 0:55,37.4,37.4,100.0,360,8,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.76,K8A0 010055Z AUTO 36008KT 10SM CLR 03/03 A3025 RMK AO2
8A0,1/1/16 1:15,37.4,37.4,100.0,350,7,0.0,30.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.36,K8A0 010115Z AUTO 35007KT 10SM CLR 03/03 A3026 RMK AO2
8A0,1/1/16 1:35,37.4,37.4,100.0,360,9,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.23,K8A0 010135Z AUTO 36009KT 10SM CLR 03/03 A3025 RMK AO2
8A0,1/1/16 1:55,37.4,37.4,100.0,360,8,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.76,K8A0 010155Z AUTO 36008KT 10SM CLR 03/03 A3025 RMK AO2
8A0,1/1/16 2:15,37.4,37.4,100.0,350,9,0.0,30.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.23,K8A0 010215Z AUTO 35009KT 10SM CLR 03/03 A3026 RMK AO2
8A0,1/1/16 2:35,37.4,37.4,100.0,350,9,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.23,K8A0 010235Z AUTO 35009KT 10SM CLR 03/03 A3025 RMK AO2
8A0,1/1/16 2:55,37.4,37.4,100.0,360,8,0.0,30.24,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.76,K8A0 010255Z AUTO 36008KT 10SM CLR 03/03 A3024 RMK AO2
8A0,1/1/16 3:15,37.4,37.4,100.0,10,4,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.73,K8A0 010315Z AUTO 01004KT 10SM CLR 03/03 A3025 RMK AO2
8A0,1/1/16 3:35,37.4,37.4,100.0,360,6,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.03,K8A0 010335Z AUTO 36006KT 10SM CLR 03/03 A3025 RMK AO2
8A0,1/1/16 3:55,37.4,35.6,93.14,350,4,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.73,K8A0 010355Z AUTO 35004KT 10SM CLR 03/02 A3025 RMK AO2
8A0,1/1/16 4:15,37.4,37.4,100.0,350,5,0.0,30.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.81,K8A0 010415Z AUTO 35005KT 10SM CLR 03/03 A3026 RMK AO2
8A0,1/1/16 4:35,37.4,35.6,93.14,360,6,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.03,K8A0 010435Z AUTO 36006KT 10SM CLR 03/02 A3025 RMK AO2
8A0,1/1/16 4:55,35.6,35.6,100.0,350,4,0.0,30.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 010455Z AUTO 35004KT 10SM CLR 02/02 A3026 RMK AO2
8A0,1/1/16 5:15,35.6,35.6,100.0,340,5,0.0,30.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.67,K8A0 010515Z AUTO 34005KT 10SM CLR 02/02 A3026 RMK AO2
8A0,1/1/16 5:35,35.6,35.6,100.0,350,6,0.0,30.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.87,K8A0 010535Z AUTO 35006KT 10SM CLR 02/02 A3026 RMK AO2
8A0,1/1/16 5:55,35.6,35.6,100.0,360,7,0.0,30.25,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,29.17,K8A0 010555Z AUTO 36007KT 10SM CLR 02/02 A3025 RMK AO2
8A0,1/1/16 6:15,35.6,35.6,100.0,340,9,0.0,30.24,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.99,K8A0 010615Z AUTO 34009KT 10SM CLR 02/02 A3024 RMK AO2
8A0,1/1/16 6:35,35.6,35.6,100.0,360,8,0.0,30.24,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.55,K8A0 010635Z AUTO 36008KT 10SM CLR 02/02 A3024 RMK AO2
8A0,1/1/16 6:55,35.6,35.6,100.0,350,9,0.0,30.25,M,10.0,14,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.99,K8A0 010655Z AUTO 35009G14KT 10SM CLR 02/02 A3025 RMK AO2
8A0,1/1/16 7:15,35.6,35.6,100.0,340,4,0.0,30.26,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,31.62,K8A0 010715Z AUTO 34004KT 10SM CLR 02/02 A3026 RMK AO2
8A0,1/1/16 7:35,35.6,35.6,100.0,340,5,0.0,30.26,M,10.0,M,SCT,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,30.67,K8A0 010735Z AUTO 34005KT 10SM SCT013 02/02 A3026 RMK AO2
8A0,1/1/16 7:55,35.6,35.6,100.0,330,6,0.0,30.26,M,10.0,M,OVC,M,M,M,1100,M,M,M,M,M,M,M,M,M,M,29.87,K8A0 010755Z AUTO 33006KT 10SM OVC011 02/02 A3026 RMK AO2
8A0,1/1/16 8:15,35.6,35.6,100.0,340,7,0.0,30.26,M,10.0,M,BKN,M,M,M,1100,M,M,M,M,M,M,M,M,M,M,29.17,K8A0 010815Z AUTO 34007KT 10SM BKN011 02/02 A3026 RMK AO2
8A0,1/1/16 8:35,35.6,35.6,100.0,360,9,0.0,30.25,M,10.0,M,SCT,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,27.99,K8A0 010835Z AUTO 36009KT 10SM SCT013 02/02 A3025 RMK AO2
8A0,1/1/16 8:55,33.8,33.8,100.0,350,8,0.0,30.24,M,10.0,M,SCT,M,M,M,1100,M,M,M,M,M,M,M,M,M,M,26.33,K8A0 010855Z AUTO 35008KT 10SM SCT011 01/01 A3024 RMK AO2
8A0,1/1/16 9:15,33.8,33.8,100.0,350,9,0.0,30.25,M,10.0,M,BKN,M,M,M,1100,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 010915Z AUTO 35009KT 10SM BKN011 01/01 A3025 RMK AO2
8A0,1/1/16 9:35,33.8,33.8,100.0,350,11,0.0,30.25,M,10.0,17,BKN,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,24.74,K8A0 010935Z AUTO 35011G17KT 10SM BKN013 01/01 A3025 RMK AO2
8A0,1/1/16 9:55,33.8,33.8,100.0,350,10,0.0,30.25,M,10.0,M,OVC,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,25.23,K8A0 010955Z AUTO 35010KT 10SM OVC013 01/01 A3025 RMK AO2
8A0,1/1/16 10:15,33.8,33.8,100.0,350,9,0.0,30.26,M,10.0,M,OVC,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 011015Z AUTO 35009KT 10SM OVC013 01/01 A3026 RMK AO2
8A0,1/1/16 10:35,33.8,33.8,100.0,350,9,0.0,30.26,M,10.0,M,OVC,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 011035Z AUTO 35009KT 10SM OVC013 01/01 A3026 RMK AO2
8A0,1/1/16 10:55,33.8,33.8,100.0,350,9,0.0,30.27,M,10.0,M,OVC,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 011055Z AUTO 35009KT 10SM OVC013 01/01 A3027 RMK AO2
8A0,1/1/16 11:15,33.8,33.8,100.0,350,10,0.0,30.28,M,10.0,M,OVC,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,25.23,K8A0 011115Z AUTO 35010KT 10SM OVC013 01/01 A3028 RMK AO2
8A0,1/1/16 11:35,33.8,33.8,100.0,350,9,0.0,30.28,M,10.0,14,OVC,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 011135Z AUTO 35009G14KT 10SM OVC013 01/01 A3028 RMK AO2
8A0,1/1/16 11:55,33.8,33.8,100.0,350,9,0.0,30.28,M,10.0,M,SCT,M,M,M,1300,M,M,M,M,M,M,M,M,M,M,25.75,K8A0 011155Z AUTO 35009KT 10SM SCT013 01/01 A3028 RMK AO2
8A0,1/1/16 12:15,33.8,33.8,100.0,360,7,0.0,30.27,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.97,K8A0 011215Z AUTO 36007KT 10SM CLR 01/01 A3027 RMK AO2
8A0,1/1/16 12:35,33.8,33.8,100.0,350,8,0.0,30.27,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.33,K8A0 011235Z AUTO 35008KT 10SM CLR 01/01 A3027 RMK AO2
