station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,feel
8A0,1/1/16 0:15,41,39.2,93.24,350,6,0,30.25,10,36.37
4A6,1/1/16 0:15,41,32,70.08,360,5,0,30.3,10,37.08
8A0,1/1/16 0:35,39.2,37.4,93.19,360,6,0,30.25,10,34.2
4A6,1/1/16 0:35,41,32,70.08,360,5,0,30.29,10,37.08
8A0,1/1/16 0:55,37.4,37.4,100,360,8,0,30.25,10,30.76
4A6,1/1/16 0:55,39.2,32,75.16,350,4,0,30.3,10,35.83
4A6,1/1/16 1:15,39.2,32,75.16,360,4,0,30.3,10,35.83
8A0,1/1/16 1:15,37.4,37.4,100,350,7,0,30.26,10,31.36
8A0,1/1/16 1:35,37.4,37.4,100,360,9,0,30.25,10,30.23
4A6,1/1/16 1:35,39.2,32,75.16,10,6,0,30.3,10,34.2
4A6,1/1/16 1:55,39.2,32,75.16,20,4,0,30.3,10,35.83
8A0,1/1/16 1:55,37.4,37.4,100,360,8,0,30.25,10,30.76
8A0,1/1/16 2:15,37.4,37.4,100,350,9,0,30.26,10,30.23
4A6,1/1/16 2:15,39.2,32,75.16,20,4,0,30.3,10,35.83
8A0,1/1/16 2:35,37.4,37.4,100,350,9,0,30.25,10,30.23
4A6,1/1/16 2:35,39.2,32,75.16,0,0,0,30.3,10,39.2
8A0,1/1/16 2:55,37.4,37.4,100,360,8,0,30.24,10,30.76
4A6,1/1/16 2:55,37.4,32,80.65,20,3,0,30.29,10,34.86
4A6,1/1/16 3:15,37.4,32,80.65,10,4,0,30.29,10,33.73
8A0,1/1/16 3:15,37.4,37.4,100,10,4,0,30.25,10,33.73
8A0,1/1/16 3:35,37.4,37.4,100,360,6,0,30.25,10,32.03
4A6,1/1/16 3:35,39.2,32,75.16,10,5,0,30.29,10,34.95
4A6,1/1/16 3:55,37.4,32,80.65,360,5,0,30.29,10,32.81
8A0,1/1/16 3:55,37.4,35.6,93.14,350,4,0,30.25,10,33.73
8A0,1/1/16 4:15,37.4,37.4,100,350,5,0,30.26,10,32.81
4A6,1/1/16 4:15,37.4,32,80.65,10,4,0,30.3,10,33.73
8A0,1/1/16 4:35,37.4,35.6,93.14,360,6,0,30.25,10,32.03
4A6,1/1/16 4:35,37.4,32,80.65,360,5,0,30.3,10,32.81
8A0,1/1/16 4:55,35.6,35.6,100,350,4,0,30.26,10,31.62
4A6,1/1/16 4:55,37.4,32,80.65,360,3,0,30.29,10,34.86
4A6,1/1/16 5:15,37.4,32,80.65,10,4,0,30.3,10,33.73
8A0,1/1/16 5:15,35.6,35.6,100,340,5,0,30.26,10,30.67
4A6,1/1/16 5:35,37.4,32,80.65,20,5,0,30.29,10,32.81
8A0,1/1/16 5:35,35.6,35.6,100,350,6,0,30.26,10,29.87
8A0,1/1/16 5:55,35.6,35.6,100,360,7,0,30.25,10,29.17
4A6,1/1/16 5:55,37.4,32,80.65,350,4,0,30.29,10,33.73
8A0,1/1/16 6:15,35.6,35.6,100,340,9,0,30.24,10,27.99
4A6,1/1/16 6:15,37.4,32,80.65,360,5,0,30.29,10,32.81
8A0,1/1/16 6:35,35.6,35.6,100,360,8,0,30.24,10,28.55
4A6,1/1/16 6:35,37.4,32,80.65,30,4,0,30.28,10,33.73
8A0,1/1/16 6:55,35.6,35.6,100,350,9,0,30.25,10,27.99
4A6,1/1/16 6:55,37.4,32,80.65,360,3,0,30.29,10,34.86
8A0,1/1/16 7:15,35.6,35.6,100,340,4,0,30.26,10,31.62
4A6,1/1/16 7:15,37.4,32,80.65,360,4,0,30.3,10,33.73
4A6,1/1/16 7:35,37.4,32,80.65,360,4,0,30.31,10,33.73
8A0,1/1/16 7:35,35.6,35.6,100,340,5,0,30.26,10,30.67
8A0,1/1/16 7:55,35.6,35.6,100,330,6,0,30.26,10,29.87
4A6,1/1/16 7:55,37.4,32,80.65,30,6,0,30.29,10,32.03
8A0,1/1/16 8:15,35.6,35.6,100,340,7,0,30.26,10,29.17
4A6,1/1/16 8:15,37.4,32,80.65,360,3,0,30.29,10,34.86
8A0,1/1/16 8:35,35.6,35.6,100,360,9,0,30.25,10,27.99
4A6,1/1/16 8:35,35.6,32,86.59,350,4,0,30.3,10,31.62
8A0,1/1/16 8:55,33.8,33.8,100,350,8,0,30.24,10,26.33
4A6,1/1/16 8:55,35.6,32,86.59,10,4,0,30.3,10,31.62
4A6,1/1/16 9:15,35.6,32,86.59,360,7,0,30.3,10,29.17
8A0,1/1/16 9:15,33.8,33.8,100,350,9,0,30.25,10,25.75
4A6,1/1/16 9:35,35.6,32,86.59,360,6,0,30.3,10,29.87
8A0,1/1/16 9:35,33.8,33.8,100,350,11,0,30.25,10,24.74
8A0,1/1/16 9:55,33.8,33.8,100,350,10,0,30.25,10,25.23
4A6,1/1/16 9:55,35.6,30.2,80.51,360,5,0,30.31,10,30.67
8A0,1/1/16 10:15,33.8,33.8,100,350,9,0,30.26,10,25.75
4A6,1/1/16 10:15,35.6,30.2,80.51,10,7,0,30.3,10,29.17
4A6,1/1/16 10:35,35.6,30.2,80.51,360,6,0,30.31,10,29.87
8A0,1/1/16 10:35,33.8,33.8,100,350,9,0,30.26,10,25.75
8A0,1/1/16 10:55,33.8,33.8,100,350,9,0,30.27,10,25.75
4A6,1/1/16 10:55,35.6,30.2,80.51,20,6,0,30.32,10,29.87
4A6,1/1/16 11:15,35.6,30.2,80.51,20,4,0,30.32,10,31.62
8A0,1/1/16 11:15,33.8,33.8,100,350,10,0,30.28,10,25.23
8A0,1/1/16 11:35,33.8,33.8,100,350,9,0,30.28,10,25.75
4A6,1/1/16 11:35,35.6,30.2,80.51,10,6,0,30.33,10,29.87
4A6,1/1/16 11:55,35.6,30.2,80.51,30,6,0,30.32,10,29.87
8A0,1/1/16 11:55,33.8,33.8,100,350,9,0,30.28,10,25.75
8A0,1/1/16 12:15,33.8,33.8,100,360,7,0,30.27,10,26.97
4A6,1/1/16 12:15,35.6,30.2,80.51,30,4,0,30.32,10,31.62
8A0,1/1/16 12:35,33.8,33.8,100,350,8,0,30.27,10,26.33
4A6,1/1/16 12:35,35.6,30.2,80.51,20,4,0,30.33,10,31.62
4A6,1/1/16 12:55,35.6,30.2,80.51,360,4,0,30.34,10,31.62
8A0,1/1/16 12:55,33.8,33.8,100,350,7,0,30.29,10,26.97
8A0,1/1/16 13:15,33.8,33.8,100,360,9,0,30.29,7,25.75
4A6,1/1/16 13:15,35.6,30.2,80.51,20,4,0,30.33,10,31.62
4A6,1/1/16 13:35,35.6,30.2,80.51,0,0,0,30.33,10,35.6
8A0,1/1/16 13:35,33.8,33.8,100,360,9,0,30.29,10,25.75
4A6,1/1/16 13:55,37.4,30.2,74.98,20,5,0,30.33,10,32.81
8A0,1/1/16 13:55,33.8,33.8,100,360,9,0,30.28,10,25.75
4A6,1/1/16 14:15,37.4,28.4,69.67,20,4,0,30.34,10,33.73
8A0,1/1/16 14:15,35.6,33.8,93.08,350,7,0,30.28,10,29.17
8A0,1/1/16 14:35,35.6,33.8,93.08,20,7,0,30.28,10,29.17
4A6,1/1/16 14:35,37.4,28.4,69.67,30,6,0,30.33,10,32.03
8A0,1/1/16 14:55,35.6,33.8,93.08,360,8,0,30.3,10,28.55
4A6,1/1/16 14:55,37.4,30.2,74.98,20,6,0,30.33,10,32.03
8A0,1/1/16 15:15,35.6,35.6,100,340,7,0,30.3,10,29.17
4A6,1/1/16 15:15,37.4,28.4,69.67,20,8,0,30.35,10,30.76
8A0,1/1/16 15:35,35.6,33.8,93.08,340,8,0,30.31,10,28.55
4A6,1/1/16 15:35,37.4,28.4,69.67,10,7,0,30.34,10,31.36
8A0,1/1/16 15:55,35.6,33.8,93.08,360,8,0,30.31,10,28.55
4A6,1/1/16 15:55,39.2,28.4,64.93,30,5,0,30.34,10,34.95
4A6,1/1/16 16:15,39.2,28.4,64.93,360,7,0,30.35,10,33.56
8A0,1/1/16 16:15,35.6,35.6,100,320,9,0,30.31,10,27.99
8A0,1/1/16 16:35,37.4,35.6,93.14,330,12,0,30.31,10,28.87
4A6,1/1/16 16:35,39.2,28.4,64.93,360,6,0,30.35,10,34.2
4A6,1/1/16 16:55,39.2,28.4,64.93,350,5,0,30.35,10,34.95
8A0,1/1/16 16:55,37.4,33.8,86.69,340,10,0,30.31,10,29.74
4A6,1/1/16 17:15,39.2,28.4,64.93,350,5,0,30.34,10,34.95
8A0,1/1/16 17:15,37.4,33.8,86.69,340,10,0,30.31,10,29.74
4A6,1/1/16 17:35,39.2,28.4,64.93,10,6,0,30.34,10,34.2
8A0,1/1/16 17:35,37.4,33.8,86.69,350,9,0,30.29,10,30.23
4A6,1/1/16 17:55,39.2,28.4,64.93,10,6,0,30.33,10,34.2
8A0,1/1/16 17:55,35.6,33.8,93.08,340,10,0,30.29,10,27.48
4A6,1/1/16 18:15,39.2,28.4,64.93,40,5,0,30.32,10,34.95
8A0,1/1/16 18:15,37.4,33.8,86.69,340,10,0,30.29,10,29.74
8A0,1/1/16 18:35,37.4,33.8,86.69,350,11,0,30.27,10,29.29
4A6,1/1/16 18:35,39.2,28.4,64.93,330,3,0,30.31,10,36.92
4A6,1/1/16 18:55,39.2,28.4,64.93,0,0,0,30.31,10,39.2
8A0,1/1/16 18:55,37.4,33.8,86.69,330,7,0,30.27,10,31.36
8A0,1/1/16 19:15,37.4,33.8,86.69,320,8,0,30.27,10,30.76
4A6,1/1/16 19:15,41,28.4,60.54,20,4,0,30.3,10,37.93
8A0,1/1/16 19:35,37.4,33.8,86.69,340,6,0,30.27,10,32.03
4A6,1/1/16 19:35,41,26.6,56.22,20,5,0,30.3,10,37.08
8A0,1/1/16 19:55,37.4,33.8,86.69,320,7,0,30.28,10,31.36
4A6,1/1/16 19:55,41,28.4,60.54,340,3,0,30.3,10,38.98
4A6,1/1/16 20:15,41,28.4,60.54,340,4,0,30.3,10,37.93
8A0,1/1/16 20:15,37.4,32,80.65,340,7,0,30.27,10,31.36
8A0,1/1/16 20:35,37.4,32,80.65,330,7,0,30.28,10,31.36
4A6,1/1/16 20:35,41,28.4,60.54,340,5,0,30.31,10,37.08
8A0,1/1/16 20:55,37.4,33.8,86.69,330,6,0,30.28,10,32.03
4A6,1/1/16 20:55,41,28.4,60.54,320,5,0,30.31,10,37.08
8A0,1/1/16 21:15,37.4,32,80.65,330,10,0,30.27,10,29.74
4A6,1/1/16 21:15,41,26.6,56.22,340,6,0,30.3,10,36.37
4A6,1/1/16 21:35,39.2,26.6,60.29,330,6,0,30.3,10,34.2
8A0,1/1/16 21:35,37.4,32,80.65,350,10,0,30.27,10,29.74
4A6,1/1/16 21:55,39.2,26.6,60.29,340,5,0,30.3,10,34.95
8A0,1/1/16 21:55,37.4,32,80.65,340,7,0,30.27,10,31.36
4A6,1/1/16 22:15,39.2,26.6,60.29,340,3,0,30.3,10,36.92
8A0,1/1/16 22:15,37.4,32,80.65,320,6,0,30.28,10,32.03
8A0,1/1/16 22:35,37.4,32,80.65,340,6,0,30.28,10,32.03
4A6,1/1/16 22:35,39.2,26.6,60.29,330,4,0,30.31,10,35.83
8A0,1/1/16 22:55,37.4,32,80.65,320,5,0,30.29,10,32.81
4A6,1/1/16 22:55,39.2,26.6,60.29,310,3,0,30.32,10,36.92
8A0,1/1/16 23:15,37.4,32,80.65,320,6,0,30.29,10,32.03
4A6,1/1/16 23:15,37.4,26.6,64.7,0,0,0,30.32,10,37.4
4A6,1/1/16 23:35,37.4,26.6,64.7,0,0,0,30.32,10,37.4
8A0,1/1/16 23:35,35.6,32,86.59,320,7,0,30.29,10,29.17
4A6,1/1/16 23:55,37.4,28.4,69.67,0,0,0,30.33,10,37.4
8A0,1/1/16 23:55,35.6,32,86.59,330,6,0,30.29,10,29.87
4A6,1/2/16 0:15,37.4,28.4,69.67,0,0,0,30.33,10,37.4
8A0,1/2/16 0:15,35.6,32,86.59,320,5,0,30.31,10,30.67
8A0,1/2/16 0:35,35.6,32,86.59,340,7,0,30.31,10,29.17
4A6,1/2/16 0:35,35.6,30.2,80.51,0,0,0,30.34,10,35.6
8A0,1/2/16 0:55,35.6,32,86.59,340,5,0,30.31,10,30.67
4A6,1/2/16 0:55,35.6,32,86.59,0,0,0,30.34,10,35.6
8A0,1/2/16 1:15,35.6,32,86.59,340,5,0,30.31,10,30.67
4A6,1/2/16 1:15,35.6,28.4,74.8,0,0,0,30.35,10,35.6
4A6,1/2/16 1:35,35.6,32,86.59,0,0,0,30.35,10,35.6
8A0,1/2/16 1:35,35.6,32,86.59,330,4,0,30.31,10,31.62
4A6,1/2/16 1:55,35.6,32,86.59,0,0,0,30.36,10,35.6
8A0,1/2/16 1:55,35.6,32,86.59,320,4,0,30.32,10,31.62
4A6,1/2/16 2:15,35.6,32,86.59,0,0,0,30.36,10,35.6
8A0,1/2/16 2:15,35.6,33.8,93.08,310,4,0,30.34,10,31.62
8A0,1/2/16 2:35,35.6,32,86.59,330,5,0,30.32,10,30.67
4A6,1/2/16 2:35,35.6,32,86.59,0,0,0,30.37,10,35.6
4A6,1/2/16 2:55,35.6,32,86.59,0,0,0,30.37,10,35.6
8A0,1/2/16 2:55,35.6,33.8,93.08,320,4,0,30.32,10,31.62
8A0,1/2/16 3:15,35.6,32,86.59,330,3,0,30.32,10,32.8
4A6,1/2/16 3:15,35.6,32,86.59,0,0,0,30.35,10,35.6
4A6,1/2/16 3:35,35.6,32,86.59,0,0,0,30.36,10,35.6
8A0,1/2/16 3:35,35.6,32,86.59,330,3,0,30.32,10,32.8
8A0,1/2/16 3:55,35.6,33.8,93.08,0,0,0,30.32,10,35.6
4A6,1/2/16 3:55,33.8,32,93.03,0,0,0,30.36,10,33.8
8A0,1/2/16 4:15,35.6,32,86.59,360,4,0,30.32,10,31.62
4A6,1/2/16 4:15,33.8,32,93.03,0,0,0,30.36,10,33.8
4A6,1/2/16 4:35,33.8,32,93.03,0,0,0,30.35,10,33.8
