Index,Japan,NZ,UK,US
1981.0,14.763,49.14,45.266000000000005,32.316
1981.25,9.321,87.46700000000001,19.886,23.721
1981.5,10.166,85.84100000000001,24.839000000000002,24.533
1981.75,19.509,61.882,52.263999999999996,33.438
1982.0,17.117,42.045,53.636,33.527
1982.25,10.617,63.081,34.802,28.366
1982.5,11.737,73.275,31.125999999999998,30.855999999999998
1982.75,20.961,54.808,53.619,33.293
1983.0,20.671,41.03,43.423,32.472
1983.25,12.235,56.155,23.421,32.369
1983.5,14.567,69.395,29.142,37.476
1983.75,24.363000000000003,58.423,51.771,38.111999999999995
1984.0,23.169,37.039,44.181999999999995,42.553000000000004
1984.25,16.296,71.564,24.92,41.277
1984.5,18.504,71.26,27.566,33.056
1984.75,29.938000000000002,54.597,48.88,44.472
1985.0,30.24,41.646,49.563,47.792
1985.25,20.28,63.668,23.866999999999997,43.07
1985.5,20.908,67.803,25.895,41.11600000000001
1985.75,36.169000000000004,72.17699999999999,54.092,65.428
1986.0,37.989000000000004,55.192,54.903,59.376999999999995
1986.25,32.366,89.073,26.089000000000002,53.283
1986.5,28.131,97.74600000000001,28.248,48.51
1986.75,47.15,94.696,66.813,85.87799999999999
1987.0,51.736000000000004,71.13,61.167,84.13
1987.25,38.254,111.416,32.4,64.347
1987.5,53.806999999999995,127.619,33.287,65.976
1987.75,71.807,117.07799999999999,72.115,96.165
1988.0,80.3,90.49799999999999,81.925,78.609
1988.25,79.596,135.435,42.091,69.306
1988.5,88.708,176.899,46.253,86.26700000000001
1988.75,103.738,131.457,90.06200000000001,92.738
1989.0,94.17200000000001,83.029,84.191,73.321
1989.25,76.462,111.74799999999999,48.708999999999996,59.818999999999996
1989.5,88.39299999999999,128.51,46.905,60.868
1989.75,90.527,126.021,93.075,67.76100000000001
1990.0,119.654,75.584,81.185,67.637
1990.25,106.965,109.47200000000001,53.693000000000005,56.153
1990.5,128.472,122.164,48.037,58.783
1990.75,124.773,111.22200000000001,94.82700000000001,69.018
1991.0,119.63799999999999,90.06700000000001,79.365,63.235
1991.25,115.04899999999999,114.05,52.961000000000006,56.691
1991.5,140.47,152.662,42.36600000000001,85.473
1991.75,153.436,123.821,89.041,66.332
1992.0,166.732,75.376,87.85,69.861
1992.25,141.886,107.369,57.261,61.501000000000005
1992.5,160.455,128.55,51.058,57.869
1992.75,160.80700000000002,136.25,93.736,73.632
1993.0,178.46599999999998,90.758,95.137,76.32300000000001
1993.25,151.904,124.97200000000001,55.661,62.718
1993.5,168.13099999999997,153.153,56.4,64.73100000000001
1993.75,172.358,130.393,103.089,77.495
1994.0,191.36700000000002,90.095,100.25,81.428
1994.25,158.207,113.79899999999999,57.464,63.553999999999995
