valid,tmpf,p01i
7/1/14 0:51,75.92,0
7/1/14 1:51,75.92,0
7/1/14 2:51,75.02,0
7/1/14 3:51,75.92,0
7/1/14 4:51,75.02,0
7/1/14 5:51,75.02,0
7/1/14 6:51,73.94,0
7/1/14 7:51,73.04,0
7/1/14 8:51,73.04,0
7/1/14 9:51,71.96,0
7/1/14 10:51,73.94,0
7/1/14 11:51,75.02,0
7/1/14 12:51,75.92,0
7/1/14 13:51,78.98,0
7/1/14 14:51,82.04,0
7/1/14 15:51,86,0
7/1/14 16:51,87.08,0
7/1/14 17:51,87.98,0
7/1/14 18:51,84.92,0
7/1/14 19:51,86,0
7/1/14 20:51,84.02,0
7/1/14 21:51,84.92,0
7/1/14 22:51,84.02,0
7/1/14 23:51,82.94,0
7/2/14 0:51,82.04,0
7/2/14 1:51,80.96,0
7/2/14 2:51,80.06,0
7/2/14 3:51,78.98,0
7/2/14 4:51,78.98,0
7/2/14 5:51,78.08,0
7/2/14 6:51,78.08,0
7/2/14 7:51,77,0
7/2/14 8:51,77,0
7/2/14 9:51,77,0
7/2/14 10:51,77,0
7/2/14 11:51,78.98,0
7/2/14 12:51,80.96,0
7/2/14 13:51,82.94,0
7/2/14 14:51,86,0
7/2/14 15:51,89.06,0
7/2/14 16:51,87.98,0
7/2/14 17:51,89.96,0
7/2/14 18:51,89.06,0
7/2/14 19:51,87.98,0
7/2/14 20:51,86,0
7/2/14 21:35,80.06,0.02
7/2/14 21:42,78.98,0.06
7/2/14 21:49,77,0.06
7/2/14 21:51,77,0.06
7/2/14 22:26,73.94,0.05
7/2/14 22:30,73.94,0.11
7/2/14 22:44,73.94,0.34
7/2/14 22:51,73.94,0.37
7/2/14 22:54,73.94,T
7/2/14 23:06,75.02,T
7/2/14 23:24,73.94,0.01
7/2/14 23:39,73.94,0.23
7/2/14 23:51,73.94,0.41
7/3/14 0:05,73.94,0.03
7/3/14 0:51,73.04,0.05
7/3/14 1:51,73.04,0.01
7/3/14 2:51,73.04,0.06
7/3/14 3:51,73.04,0
7/3/14 4:51,73.04,0
7/3/14 5:51,73.04,0
7/3/14 6:51,73.04,0
7/3/14 7:51,73.04,0
7/3/14 8:51,73.04,0.01
7/3/14 9:35,73.04,0.03
7/3/14 9:43,73.04,0.03
7/3/14 9:51,73.04,0.03
7/3/14 10:19,73.94,0
7/3/14 10:30,73.94,0
7/3/14 10:39,73.94,0
7/3/14 10:47,73.4,0
7/3/14 10:51,73.94,0
7/3/14 11:01,73.94,0
7/3/14 11:09,73.94,0
7/3/14 11:39,73.94,0
7/3/14 11:51,75.02,0
7/3/14 12:51,75.92,0
7/3/14 13:51,78.98,0
7/3/14 14:51,80.96,0
7/3/14 15:10,82.04,0
7/3/14 15:51,84.02,0
7/3/14 16:43,84.02,0
7/3/14 16:51,84.02,0
7/3/14 17:38,84.02,0
7/3/14 17:51,84.92,0
7/3/14 18:51,84.02,0
7/3/14 19:51,84.02,0
7/3/14 20:51,84.02,0
7/3/14 21:51,82.04,0
7/3/14 22:51,80.96,0
7/3/14 23:15,78.98,T
7/3/14 23:21,73.94,0.24
7/3/14 23:24,73.94,0.36
7/3/14 23:33,73.94,0.48
7/3/14 23:51,73.94,0.48
7/4/14 0:02,73.04,0
7/4/14 0:13,71.96,T
7/4/14 0:20,71.06,T
7/4/14 0:24,71.06,0.01
7/4/14 0:29,71.06,0.04
7/4/14 0:36,69.98,0.36
7/4/14 0:47,69.8,0.69
7/4/14 0:51,69.08,0.82
7/4/14 1:07,69.98,0.42
7/4/14 1:13,69.98,0.43
7/4/14 1:20,69.98,0.43
7/4/14 1:51,69.98,0.44
7/4/14 2:51,69.98,0
7/4/14 3:51,69.98,0
7/4/14 4:51,71.06,0
7/4/14 5:51,69.98,0
7/4/14 6:33,71.06,0
7/4/14 6:42,71.06,0
7/4/14 6:51,71.06,0
7/4/14 7:03,71.06,0
7/4/14 7:27,71.06,0
7/4/14 7:34,71.06,0
7/4/14 7:51,71.06,0
7/4/14 8:06,71.06,0
7/4/14 8:16,71.06,0
7/4/14 8:27,71.06,0
7/4/14 8:51,71.06,0
7/4/14 9:01,71.06,0
7/4/14 9:16,71.06,0
7/4/14 9:26,71.06,0
7/4/14 9:46,71.6,0
7/4/14 9:51,71.06,0
7/4/14 10:09,71.06,0
7/4/14 10:51,71.06,0
7/4/14 11:51,71.06,0
7/4/14 12:51,69.98,0
7/4/14 13:51,71.06,0
7/4/14 14:51,73.04,0
7/4/14 15:51,73.94,0
7/4/14 16:06,73.04,0
7/4/14 16:31,73.04,0
7/4/14 16:51,71.96,0
7/4/14 17:51,66.92,0.04
7/4/14 18:35,68,0.02
7/4/14 18:51,66.92,0.05
7/4/14 19:22,66.02,0.03
7/4/14 19:51,66.92,0.03
7/4/14 20:07,66.02,T
7/4/14 20:51,66.02,0.02
7/4/14 21:00,66.02,0
7/4/14 21:51,69.08,0
7/4/14 22:51,69.98,0
7/4/14 23:51,71.06,0
7/5/14 0:51,69.98,0
7/5/14 1:51,69.08,0
7/5/14 2:51,68,0
7/5/14 3:51,66.92,0
7/5/14 4:51,66.92,0
7/5/14 5:51,66.02,0
7/5/14 6:51,64.94,0
7/5/14 7:51,64.94,0
7/5/14 8:51,64.04,0
7/5/14 9:51,64.04,0
7/5/14 10:51,64.04,0
7/5/14 11:51,64.94,0
7/5/14 12:51,66.92,0
7/5/14 13:51,69.98,0
7/5/14 14:51,73.04,0
7/5/14 15:51,75.02,0
7/5/14 16:51,77,0
7/5/14 17:51,78.98,0
7/5/14 18:51,78.98,0
7/5/14 19:51,80.06,0
7/5/14 20:51,80.06,0
7/5/14 21:51,80.06,0
7/5/14 22:51,80.06,0
7/5/14 23:51,78.98,0
7/6/14 0:51,75.92,0
7/6/14 1:51,75.92,0
7/6/14 2:51,75.02,0
7/6/14 3:51,73.04,0
7/6/14 4:51,71.96,0
7/6/14 5:51,71.06,0
7/6/14 6:51,69.98,0
7/6/14 7:51,69.08,0
7/6/14 8:51,68,0
7/6/14 9:51,66.92,0
7/6/14 10:51,66.92,0
7/6/14 11:51,69.08,0
7/6/14 12:51,71.96,0
7/6/14 13:51,75.02,0
7/6/14 14:51,78.08,0
7/6/14 15:51,82.04,0
7/6/14 16:51,82.94,0
7/6/14 17:51,84.02,0
7/6/14 18:51,84.02,0
7/6/14 19:51,84.02,0
7/6/14 20:51,82.94,0
7/6/14 21:51,84.02,0
7/6/14 22:51,80.96,0
7/6/14 23:51,80.96,0
7/7/14 0:51,78.98,0
7/7/14 1:51,78.08,0
7/7/14 2:51,75.92,0
7/7/14 3:51,75.02,0
7/7/14 4:51,73.94,0
7/7/14 5:51,73.94,0
7/7/14 6:51,73.04,0
7/7/14 7:51,73.04,0
7/7/14 8:51,73.04,0
7/7/14 9:51,71.96,0
7/7/14 10:51,73.04,0
7/7/14 11:51,73.04,0
7/7/14 12:51,75.92,0
7/7/14 13:51,78.98,0
7/7/14 14:51,80.96,0
7/7/14 15:51,84.92,0
7/7/14 16:51,87.08,0
7/7/14 17:51,87.98,0
7/7/14 18:51,87.98,0
7/7/14 19:51,87.98,0
7/7/14 20:51,89.96,0
7/7/14 21:51,87.08,0
7/7/14 22:51,87.98,0
7/7/14 23:51,86,0
7/8/14 0:51,84.92,0
7/8/14 1:51,84.92,0
7/8/14 2:51,82.94,0
7/8/14 3:51,82.04,0
7/8/14 4:51,80.06,0
7/8/14 4:56,77,T
7/8/14 5:14,71.06,0.18
7/8/14 5:25,71.06,0.35
7/8/14 5:33,71.06,0.39
7/8/14 5:43,71.06,0.41
7/8/14 5:51,71.96,0.42
7/8/14 6:51,71.06,0.01
7/8/14 7:51,71.96,0
7/8/14 8:51,71.96,0
7/8/14 9:51,71.96,0
7/8/14 14:51,82.4,0
7/8/14 15:51,87.98,0
7/8/14 16:51,89.06,0
7/8/14 17:51,89.06,0
7/8/14 18:51,89.06,0
7/8/14 19:51,87.98,0
7/8/14 20:51,87.98,0
7/8/14 21:51,89.06,0
7/8/14 22:51,86,0
7/8/14 23:51,84.92,0
7/9/14 0:51,84.02,0
7/9/14 1:51,84.02,0
7/9/14 2:51,77,T
7/9/14 3:51,75.92,T
7/9/14 4:51,75.02,0
7/9/14 5:51,73.04,0
7/9/14 6:51,73.04,0
7/9/14 7:51,73.04,0
7/9/14 8:51,73.04,0
7/9/14 9:51,71.96,0
7/9/14 10:51,71.96,0
7/9/14 11:51,73.04,0
7/9/14 12:51,75.92,0
7/9/14 15:51,80.96,0
7/9/14 16:51,84.92,0
7/9/14 17:51,86,0
7/9/14 18:51,84.92,0
7/9/14 19:51,84.02,0
7/9/14 20:51,82.94,0
7/9/14 21:51,82.04,0
7/9/14 22:51,80.96,0
7/9/14 23:51,84.02,0
7/10/14 0:06,78.08,T
7/10/14 0:15,71.96,0.09
7/10/14 0:20,71.96,0.09
7/10/14 0:27,71.96,0.09
7/10/14 0:51,71.06,0.09
7/10/14 1:51,73.04,0
7/10/14 2:51,73.04,0
